Epoch 1 Episode 225 Left:100 	 Right: 115	 None: 0	
Epoch 1 Episode 230 Left:110 	 Right: 140	 None: 0	
Epoch 1 Episode 235 Left:116 	 Right: 134	 None: 0	
Epoch 1 Episode 240 Left:103 	 Right: 144	 None: 0	
Epoch 1 Episode 245 Left:71 	 Right: 83	 None: 0	
Epoch 1 Episode 250 Left:105 	 Right: 145	 None: 0	
Epoch 1 Episode 255 Left:91 	 Right: 114	 None: 0	
Epoch 1 Episode 260 Left:81 	 Right: 99	 None: 0	
Epoch 1 Episode 265 Left:66 	 Right: 101	 None: 0	
Epoch 1 Episode 270 Left:38 	 Right: 56	 None: 1	
Epoch 1 Episode 275 Left:16 	 Right: 27	 None: 0	
Epoch 1 Episode 280 Left:74 	 Right: 83	 None: 0	
Epoch 1 Episode 285 Left:29 	 Right: 64	 None: 0	
Epoch 1 Episode 290 Left:69 	 Right: 92	 None: 1	
Epoch 1 Episode 295 Left:87 	 Right: 163	 None: 0	
Epoch 1 Episode 300 Left:50 	 Right: 87	 None: 0	
Epoch 1 Episode 305 Left:96 	 Right: 108	 None: 0	
Epoch 1 Episode 310 Left:82 	 Right: 115	 None: 0	
Epoch 1 Episode 315 Left:111 	 Right: 132	 None: 1	
Epoch 1 Episode 320 Left:104 	 Right: 101	 None: 1	
Epoch 1 Episode 325 Left:78 	 Right: 81	 None: 0	
Epoch 1 Episode 330 Left:54 	 Right: 54	 None: 0	
Epoch 1 Episode 335 Left:85 	 Right: 94	 None: 0	
Epoch 1 Episode 340 Left:69 	 Right: 68	 None: 2	
Epoch 1 Episode 345 Left:85 	 Right: 78	 None: 0	
Epoch 1 Episode 350 Left:126 	 Right: 123	 None: 0	
Epoch 1 Episode 355 Left:63 	 Right: 55	 None: 0	
Epoch 1 Episode 360 Left:131 	 Right: 95	 None: 0	
Epoch 1 Episode 365 Left:90 	 Right: 77	 None: 0	
Epoch 1 Episode 370 Left:108 	 Right: 110	 None: 0	
Epoch 1 Episode 375 Left:140 	 Right: 104	 None: 0	
Epoch 1 Episode 380 Left:128 	 Right: 71	 None: 0	
Epoch 1 Episode 385 Left:129 	 Right: 76	 None: 0	
Epoch 1 Episode 390 Left:137 	 Right: 67	 None: 0	
Epoch 1 Episode 395 Left:151 	 Right: 84	 None: 0	
Epoch 1 Episode 400 Left:52 	 Right: 32	 None: 1	
Epoch 1 Episode 405 Left:109 	 Right: 60	 None: 0	
Epoch 1 Episode 410 Left:68 	 Right: 59	 None: 1	
Epoch 1 Episode 415 Left:95 	 Right: 69	 None: 0	
Epoch 1 Episode 420 Left:100 	 Right: 70	 None: 0	
Epoch 1 Episode 425 Left:127 	 Right: 123	 None: 0	
Epoch 1 Episode 430 Left:134 	 Right: 116	 None: 0	
Epoch 1 Episode 435 Left:139 	 Right: 111	 None: 0	
Epoch 1 Episode 440 Left:143 	 Right: 96	 None: 0	
Epoch 1 Episode 445 Left:104 	 Right: 97	 None: 0	
Epoch 1 Episode 450 Left:118 	 Right: 102	 None: 0	
Epoch 1 Episode 455 Left:111 	 Right: 84	 None: 0	
Epoch 1 Episode 460 Left:143 	 Right: 102	 None: 0	
Epoch 1 Episode 465 Left:91 	 Right: 67	 None: 0	
Epoch 1 Episode 470 Left:106 	 Right: 82	 None: 0	
Epoch 1 Episode 475 Left:49 	 Right: 65	 None: 0	
Epoch 1 Episode 480 Left:78 	 Right: 116	 None: 0	
Epoch 1 Episode 485 Left:92 	 Right: 110	 None: 0	
Epoch 1 Episode 490 Left:45 	 Right: 57	 None: 0	
Epoch 1 Episode 495 Left:84 	 Right: 97	 None: 0	
Epoch 1 Episode 500 Left:106 	 Right: 83	 None: 0	
Epoch 1 Episode 505 Left:86 	 Right: 108	 None: 0	
Epoch 1 Episode 510 Left:57 	 Right: 74	 None: 0	
Epoch 1 Episode 515 Left:94 	 Right: 97	 None: 0	
Epoch 1 Episode 520 Left:62 	 Right: 91	 None: 0	
Epoch 1 Episode 525 Left:131 	 Right: 111	 None: 0	
Epoch 1 Episode 530 Left:95 	 Right: 114	 None: 0	
